Pressure,98.36,6,A8-AE-30-C4-83-39
Proximity,25.46,8,0F-4B-2F-3F-95-98
Pressure,92.01,10,17-4A-B4-FF-BE-0D
Humidity,98.64,4,AD-42-82-CB-09-50
Pressure,31.7,4,56-D5-A4-94-71-F9
Proximity,18.62,2,82-8C-FA-F9-86-2B
Temperature,35.71,8,1B-B5-D3-84-27-F4
Humidity,22.16,8,A1-47-2F-44-FD-7D
Temperature,66.32,2,10-72-1F-17-69-33
Pressure,39.18,9,93-F0-43-F2-ED-A5
Pressure,35.82,8,90-C3-A5-BC-F0-AF
Humidity,73.74,6,93-93-4D-36-CC-96
Humidity,78.25,5,FD-75-5D-B7-C5-10
Temperature,97.73,9,DF-D1-80-56-73-54
Temperature,41.2,5,91-1D-6B-FF-5D-69
Humidity,60.99,4,46-1F-CA-60-85-C9
Pressure,50.38,2,7F-68-9D-D9-A3-93
Humidity,60.76,3,63-78-E6-88-24-9F
Light,79.3,5,A3-01-9B-EC-3A-33
Sound,87.56,4,71-18-5B-4D-79-A6
Sound,13.86,3,83-08-43-4C-1E-0E
Pressure,20.9,6,E6-F4-76-CD-2D-F9
Temperature,79.17,1,97-87-39-F8-26-95
Light,55.05,6,9E-20-36-06-36-A2
Light,39.66,6,F7-8A-D0-5B-7D-14
Light,36.22,7,CF-16-AF-81-FD-E8
Pressure,81.14,6,2F-89-D3-1B-28-43
Pressure,80.84,1,16-DF-9A-0B-46-F8
Temperature,98.33,3,85-6E-D6-50-6C-F0
Temperature,53.43,7,E3-DF-ED-59-C9-EB
Light,81.46,7,CD-4D-0A-16-F7-7F
Sound,82.09,8,D2-5F-9B-62-7B-96
Proximity,19.51,3,9F-89-52-FC-00-08
Light,57.4,10,A0-22-AD-23-90-6B
Proximity,47.09,10,1E-CB-7B-76-EA-1C
Humidity,46.19,2,D6-88-3A-BC-4E-EF
Proximity,93.65,2,EA-CA-84-A4-C8-9F
Humidity,53.59,4,8F-17-2D-A6-9A-6F
Proximity,68.15,4,9B-D6-6E-D2-F5-57
Proximity,79.47,5,91-55-4C-A1-AD-0A
Sound,84.94,10,03-2B-63-52-F2-44
Pressure,75.99,4,83-79-0F-30-F8-CB
Humidity,96.89,9,7A-41-C8-5E-3F-92
Temperature,75.6,5,87-0B-1D-10-C6-15
Proximity,30.9,2,F4-4E-FC-77-E6-9A
Temperature,12.72,8,EA-F6-54-0C-66-45
Humidity,90.29,4,C5-9F-88-75-98-F6
Light,78.34,10,8D-12-C1-A4-AE-6F
Proximity,61.34,10,37-E5-90-62-B5-78
Proximity,49.52,5,1B-A6-10-E5-B6-D6
Pressure,47.69,10,6F-00-CC-1E-65-D2
Proximity,85.37,3,14-0F-94-77-38-9D
Proximity,49.83,3,D4-4E-F3-A6-C9-BD
Light,27.39,9,39-4F-B4-D9-CF-B5
Humidity,77.05,2,08-79-91-F1-1F-09
Sound,72.79,8,AE-FA-89-A0-92-D5
Sound,55.8,6,A4-48-BD-64-61-13
Proximity,17.86,2,CD-5B-CE-B3-7A-34
Temperature,53.04,7,68-53-76-77-8B-67
Light,35.61,8,22-DC-13-9F-43-2B
Sound,66.07,5,2A-AA-EB-A1-CB-EB
Temperature,62.55,6,0A-66-13-48-9F-D1
Humidity,75.68,9,DC-5C-ED-6F-8A-B5
Pressure,94.41,8,64-B3-A2-D3-35-12
Temperature,50.72,7,B4-81-4B-17-2E-BD
Temperature,49.54,10,64-59-60-99-E0-44
Sound,89.69,2,01-EB-A2-8F-88-CB
Sound,35.71,9,AA-1E-8D-AC-5C-21
Proximity,39.56,2,D4-D6-F0-15-4A-51
Pressure,47.83,1,EB-D8-9A-C7-B7-85
Light,68.09,10,AA-7C-02-D1-EE-8B
Light,95.37,5,B5-D2-E8-ED-AC-C6
Light,96.11,8,EB-9A-85-3E-5C-50
Light,29.77,8,46-99-61-C4-87-7B
Proximity,43.12,6,0D-9B-B7-69-38-DF
Temperature,42.77,4,D9-D4-6A-18-48-59
Light,89.16,9,73-F8-84-47-D4-F6
Proximity,46.83,2,4E-EB-71-19-A6-D8
Pressure,62.36,9,62-A9-0E-FD-1F-AD
Pressure,24.01,8,67-6A-3D-60-77-12
Light,73.13,6,21-E9-BC-EA-42-06
Sound,34.54,1,CF-74-0D-2D-3A-1A
Proximity,54.31,1,22-60-AF-31-D4-C4
Temperature,27.51,1,F2-9F-A6-69-94-A0
Light,15.18,9,5C-04-1E-11-16-38
Humidity,98.73,10,DF-8F-02-15-0E-39
Humidity,21.54,6,78-4D-3B-56-97-6B
Pressure,83.99,4,DD-5A-93-BB-44-2B
Light,84.77,4,33-2E-A4-F6-6C-27
Light,46.32,6,9A-8F-9D-5C-9C-9F
Temperature,61.62,6,07-21-BE-8B-FA-12
Temperature,82.08,8,76-E1-2E-2E-55-AF
Proximity,87.49,8,E7-DF-79-9D-51-39
Proximity,89.55,2,9E-0C-5F-61-60-10
Proximity,72.68,1,E3-E9-15-2A-E9-0D
Pressure,30.38,2,F8-6C-4C-F5-86-43
Sound,94.14,3,DB-FF-54-3E-40-1F
Light,44.12,3,D3-5F-59-CA-82-3B
Humidity,69.73,4,C8-AC-1F-B4-3A-37
Temperature,60.46,4,78-03-B0-8E-89-A5
Humidity,57.23,7,46-38-80-0C-F9-E3
Light,73.02,10,11-59-57-65-C1-6A
Light,38.92,4,92-D1-D9-81-EA-FF
Humidity,23.86,9,8C-EB-97-F4-71-18
Temperature,19.04,5,55-38-0E-44-22-43
Humidity,31.01,5,89-02-0B-C5-34-BD
Temperature,91.52,3,41-04-E4-78-24-0F
Temperature,27.65,10,C9-26-2F-C5-38-91
Sound,86.93,1,F7-74-00-88-76-CA
Proximity,97.17,8,0D-90-3E-21-C7-01
Sound,47.35,6,4A-F1-F5-B6-75-68
Pressure,84.83,6,4F-49-65-22-1F-D0
Sound,11.15,5,2B-58-DE-1D-ED-85
Sound,89.08,2,5C-95-49-CB-35-FE
Proximity,74.29,7,06-70-93-6E-1E-92
Humidity,98.97,1,0A-76-8E-DF-A9-44
Proximity,80.04,2,79-45-A4-A3-13-65
Pressure,57.53,4,DE-73-43-02-E2-40
Light,45.75,9,EC-5A-B0-C9-05-85
Sound,97.44,7,48-2B-4B-95-E1-E0
Sound,29.29,2,9D-05-BD-D8-7B-DE
