3300,104,22,80,3
2600,66,39,69,3
2500,73,63,116,5
2475,50,23,64,21
2313,58,70,53,8
2175,100,87,89,4
600,38,15,45,10
460,21,11,32,3
240,18,24,26,2
200,33,14,96,6
177,10,5,18,7
140,22,19,56,3
117,3,2,1,0
115,2,4,3,0
2600,75,53,64,7
1907,73,50,100,14
1190,26,42,61,8
990,64,42,102,6
925,26,22,26,5
365,15,14,30,6
302,51,95,151,27
300,39,34,89,6
129,18,20,22,5
111,8,1,18,0
6100,100,90,67,15
4125,96,55,74,7
3213,17,39,47,3
2319,117,78,120,31
2000,40,36,56,4
1600,31,50,69,15
1394,51,83,50,5
935,21,30,42,3
850,54,75,38,20
775,35,9,19,3
760,36,40,53,14
629,30,24,43,0
275,34,33,57,8
120,5,14,19,2
2567,42,41,66,8
2500,81,48,93,5
2350,92,67,100,3
2317,12,37,20,4
2000,40,12,57,9
715,11,16,36,3
660,49,14,49,9
650,15,30,30,4
260,12,13,14,0
250,11,2,26,2
200,50,31,73,3
180,21,17,26,8
